Expression	Period
1.94214817471432	PN0#Myonuclei
2.05269531133651	PN0#Myonuclei
1.424209927866	PN0#Myonuclei
2.56144882420158	PN0#Myonuclei
2.67844197027321	PN0#Myonuclei
2.42531028363106	PN0#Myonuclei
2.46113581658714	PN0#Myonuclei
0	PN0#Myonuclei
2.64114913746691	PN0#Myonuclei
1.8444805688076	PN0#Myonuclei
0	PN0#Myonuclei
1.75521459864998	PN0#Myonuclei
3.31510191015727	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
3.39353693284949	PN0#Myonuclei
0	PN0#Myonuclei
3.19593153661202	PN0#Myonuclei
0	PN0#Myonuclei
2.99030193881039	PN0#Myonuclei
0	PN0#Myonuclei
3.17568842162241	PN0#Myonuclei
1.86817271522586	PN0#Myonuclei
0	PN0#Myonuclei
2.4794699915835	PN0#Myonuclei
1.64932125722885	PN0#Myonuclei
2.04797595982601	PN0#Myonuclei
1.66825874174476	PN0#Myonuclei
0	PN0#Myonuclei
1.76117604585597	PN0#Myonuclei
2.64539472268028	PN0#Myonuclei
3.42570135470586	PN0#Myonuclei
